id,vertex,lat,lon,name,localityName,code,direction,description,locationType,locationSubType,wheelchairBoarding,routeIds,stopColorType,style,parentStationId,type
BKK_F01191,BKK:BKK_F01191,47.485476,19.069898,Corvin-negyed M,1094,F01191,13,3673,0,,True,"['BKK_3040', 'BKK_3060']",BUS,{'colors': ['FFD800']},BKK_CSF01190,TRAM
BKK_F01190,BKK:BKK_F01190,47.486591,19.070416,Corvin-negyed M,1085,F01190,6,3671,0,,True,"['BKK_VP06', 'BKK_9230']",BUS,"{'colors': ['000000', '009EE3']}",BKK_CSF01190,BUS
BKK_F01189,BKK:BKK_F01189,47.484862,19.072242,Corvin-negyed,1094,F01189,114,3669,0,,True,['BKK_5300'],BUS,"{'colors': ['005CA5'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",BKK_CSF01190,SUBWAY
BKK_F01188,BKK:BKK_F01188,47.485424,19.070866,Corvin-negyed,1094,F01188,-63,3667,0,,True,['BKK_5300'],BUS,"{'colors': ['005CA5'], 'type': 'PRIORITY', 'image': 'stop-icon-M3'}",BKK_CSF01190,SUBWAY
BKK_F01187,BKK:BKK_F01187,47.489445,19.090494,Orczy tér,1086,F01187,-90,3665,0,,True,"['BKK_0090', 'BKK_2175', 'BKK_9090']",BUS,"{'colors': ['000000', '009EE3']}",BKK_CSF01217,BUS
BKK_F01186,BKK:BKK_F01186,47.489401,19.089923,Orczy tér,1086,F01186,,3663,0,,True,['BKK_4720'],BUS,{'colors': ['E41F18']},BKK_CSF01217,TROLLEYBUS
BKK_F01185,BKK:BKK_F01185,47.487176,19.068213,Üllői út,1085,F01185,-169,3661,0,,True,['BKK_4830'],BUS,{'colors': ['E41F18']},BKK_CSF01185,TROLLEYBUS
BKK_F01184,BKK:BKK_F01184,47.491919,19.089102,Magdolna utca,1087,F01184,,3659,0,,True,[],BUS,{'colors': ['777777']},BKK_CS009702,TRAM
BKK_F01183,BKK:BKK_F01183,47.499481,19.096089,Gumigyár,1087,F01183,90,3657,0,,True,"['BKK_4800', 'BKK_9080', 'BKK_9081', 'BKK_9310', 'BKK_9311', 'BKK_9560', 'BKK_9900']",BUS,"{'colors': ['000000', 'E41F18']}",BKK_CSF01182,TROLLEYBUS
BKK_F01182,BKK:BKK_F01182,47.499688,19.095784,Gumigyár,1087,F01182,-91,3655,0,,True,"['BKK_4800', 'BKK_9080', 'BKK_9310', 'BKK_9560', 'BKK_9900']",BUS,"{'colors': ['000000', 'E41F18']}",BKK_CSF01182,TROLLEYBUS
BKK_F01181,BKK:BKK_F01181,47.488949,19.095496,Kőbányai út 21.,1087,F01181,106,3653,0,,True,"['BKK_3280', 'BKK_3281', 'BKK_3620']",BUS,{'colors': ['FFD800']},BKK_CSF01180,TRAM
BKK_F01180,BKK:BKK_F01180,47.488985,19.095841,Kőbányai út 21.,1087,F01180,-80,3651,0,,True,"['BKK_3280', 'BKK_3281', 'BKK_3620']",BUS,{'colors': ['FFD800']},BKK_CSF01180,TRAM
BKK_F01116,BKK:BKK_F01116,47.498319,19.069664,Blaha Lujza tér M (Dohány utca),1073,F01116,47,3523,0,,True,['BKK_4740'],BUS,{'colors': ['E41F18']},BKK_CSF01116,TROLLEYBUS
BKK_F01112,BKK:BKK_F01112,47.49983,19.06916,Wesselényi utca / Erzsébet körút,1073,F01112,154,3515,0,,True,"['BKK_3040', 'BKK_3060']",BUS,{'colors': ['FFD800']},BKK_CSF01115,TRAM
BKK_F01110,BKK:BKK_F01110,47.496278,19.065642,Nagy Diófa utca,1072,F01110,66,3511,0,,True,['BKK_4740'],BUS,{'colors': ['E41F18']},BKK_CSF01110,TROLLEYBUS
BKK_F01109,BKK:BKK_F01109,47.498554,19.06551,Nyár utca,1072,F01109,-128,3509,0,,True,['BKK_4740'],BUS,{'colors': ['E41F18']},BKK_CSF01109,TROLLEYBUS
BKK_F01108,BKK:BKK_F01108,47.495515,19.060134,Károly körút (Astoria M),1072,F01108,121,3507,0,,True,['BKK_4740'],BUS,{'colors': ['E41F18']},BKK_CSF01108,TROLLEYBUS
BKK_F01298,BKK:BKK_F01298,47.495648,19.072742,Blaha Lujza tér M (Népszínház utca),1081,F01298,83,3887,0,,True,"['BKK_3280', 'BKK_3281', 'BKK_3370', 'BKK_3371', 'BKK_3620']",BUS,{'colors': ['FFD800']},BKK_CSF01116,TRAM
BKK_F01297,BKK:BKK_F01297,47.496071,19.071336,Blaha Lujza tér M (Népszínház utca),1081,F01297,-75,3885,0,,True,"['BKK_3040', 'BKK_3060']",BUS,{'colors': ['FFD800']},BKK_CSF01116,TRAM
